plot,year,scan_date,USDA_symbol,all,plant,leaf,count,total_area,petiole,file,notes
non_plot,2017,2017-04-05,LOST4,FALSE,3,2,1,1.222,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,3,3,2,0.663,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,4,NA,40,5.487,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,4,1,3,1.203,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,4,2,3,1.104,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,4,3,6,0.569,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,5,NA,46,7.761,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,5,1,1,0.768,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,5,2,1,0.616,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,5,3,1,0.486,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,6,NA,72,13.024,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,6,1,1,0.429,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,6,2,1,0.636,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,6,3,3,0.473,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,7,NA,47,6.243,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,7,1,1,0.378,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,7,2,5,0.395,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,7,3,2,0.321,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,TRUE,8,NA,82,14.272,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,8,1,1,0.65,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,8,2,1,0.6,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-05,LOST4,FALSE,8,3,5,0.445,TRUE,data-raw/all-scans/scans-05042017/lost_leaf_area_with_petiole.xls,with_petiole
non_plot,2017,2017-04-06,BRHO2,TRUE,1,NA,32,23.777,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,1,1,3,2.978,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,1,2,3,3.287,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,1,3,3,2.6,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,2,NA,17,15.314,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,2,1,4,2.712,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,2,2,2,2.786,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,2,3,4,1.502,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,3,NA,33,19.449,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,3,1,5,2.842,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,3,2,4,3.021,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,3,3,4,3.249,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,4,NA,73,69.838,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,4,1,4,3.959,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,4,2,1,3.417,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,4,3,4,3.949,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,5,NA,69,56.12,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,5,1,2,4.761,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,5,2,3,2.755,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,5,3,4,1.823,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,6,NA,65,75.609,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,6,NA,21,28.767,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,6,1,3,2.365,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,6,2,3,4.122,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,6,3,4,3.611,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,7,NA,67,54.687,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,7,1,4,6.315,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,7,2,2,2.15,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,7,3,1,2.288,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,TRUE,8,NA,13,18.608,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,8,1,3,1.702,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
