sequence,plot,species,plant_number,leaf_number,leaf_length_cm,leaf_width_cm,wet_mass_g,petiole_mass_g,dry_mass_g,dry_mass_petiole_g,n_leaves,date_collected,notes
,non_plot,MIDO,5,stem,,,,,0.0061,,1,,
,non_plot,MIDO,6,1,,,0.167,,0.0175,,1,,
,non_plot,MIDO,6,2,,,0.1317,,0.0108,,1,,
,non_plot,MIDO,6,3,,,0.1676,,0.0164,,1,,
,non_plot,MIDO,6,dead lvs,,,,,0.0022,,1,,
,non_plot,MIDO,6,lvs,,,,,0.1243,,1,,
,non_plot,MIDO,6,stem,,,,,0.0074,,1,,
,non_plot,MIDO,7,1,,,0.1454,,0.0132,,1,,
,non_plot,MIDO,7,2,,,0.1394,,0.0136,,1,,
,non_plot,MIDO,7,3,,,0.1795,,0.0164,,1,,
,non_plot,MIDO,7,lvs,,,,,0.0983,,1,,
,non_plot,MIDO,7,stem,,,,,0.0109,,1,,
,non_plot,MIDO,8,1,,,0.1729,,0.0162,,1,,
,non_plot,MIDO,8,2,,,0.181,,0.0163,,1,,
,non_plot,MIDO,8,3,,,0.1568,,0.0135,,1,,
,non_plot,MIDO,8,lvs,,,,,0.0029,,1,,
,non_plot,MIDO,8,stem,,,,,0.0726,,1,,
,non_plot,MIDO,8,dead lvs,,,,,0.0057,,1,,
,non_plot,GIACM2,1,1,,,0.108,,0.011,,1,,
,non_plot,GIACM2,1,2,,,0.1384,,0.0135,,1,,
,non_plot,GIACM2,1,3,,,0.1246,,0.0123,,1,,
,non_plot,GIACM2,1,lvs,,,,,0.0538,,1,,
,non_plot,GIACM2,1,stem,,,,,0.0086,,1,,
,non_plot,GIACM2,2,1,,,0.1232,,0.011,,1,,
,non_plot,GIACM2,2,2,,,0.1319,,0.0132,,1,,
,non_plot,GIACM2,2,3,,,0.1039,,0.011,,1,,
,non_plot,GIACM2,2,lvs,,,,,0.0676,,1,,
,non_plot,GIACM2,2,stem,,,,,0.0087,,1,,
,non_plot,GIACM2,3,1,,,0.1343,,0.0109,,1,,
,non_plot,GIACM2,3,2,,,0.1303,,0.0111,,1,,
,non_plot,GIACM2,3,3,,,0.1495,,0.0132,,1,,
,non_plot,GIACM2,3,lvs,,,,,0.0523,,1,,
,non_plot,GIACM2,3,stem,,,,,0.0064,,1,,
,non_plot,GIACM2,4,1,,,0.1157,,0.0126,,1,,
,non_plot,GIACM2,4,2,,,0.0936,,0.0115,,1,,
,non_plot,GIACM2,4,3,,,0.1014,,0.0118,,1,,
,non_plot,GIACM2,4,lvs,,,,,0.0688,,1,,
,non_plot,GIACM2,4,stem,,,,,0.0119,,1,,
,non_plot,GIACM2,5,1,,,0.1315,,0.0137,,1,,
,non_plot,GIACM2,5,2,,,0.1452,,0.0168,,1,,
,non_plot,GIACM2,5,3,,,0.099,,0.0106,,1,,
,non_plot,GIACM2,5,lvs,,,,,0.0664,,1,,
,non_plot,GIACM2,5,stem,,,,,0.0123,,1,,
,non_plot,GIACM2,6,1,,,0.1183,,0.012,,1,,
,non_plot,GIACM2,6,2,,,0.0974,,0.0099,,1,,
,non_plot,GIACM2,6,3,,,0.0518,,0.048,,1,,
,non_plot,GIACM2,6,lvs,,,,,0.0434,,1,,
,non_plot,GIACM2,6,stem,,,,,0.011,,1,,
,non_plot,GIACM2,7,1,,,0.0753,,0.0076,,1,,
,non_plot,GIACM2,7,2,,,0.0931,,0.0123,,1,,
,non_plot,GIACM2,7,3,,,0.0894,,0.011,,1,,
,non_plot,GIACM2,7,lvs,,,,,0.0569,,1,,
,non_plot,GIACM2,7,stem,,,,,0.0114,,1,,
,non_plot,GIACM2,8,1,,,0.0783,,0.0106,,1,,
,non_plot,GIACM2,8,2,,,0.0788,,0.0099,,1,,
,non_plot,GIACM2,8,3,,,0.0581,,0.008,,1,,
,non_plot,GIACM2,8,lvs,,,,,0.0452,,1,,
,non_plot,GIACM2,8,stem,,,,,0.0112,,1,,
