slice,alias,plant_number,leaf_number,all,count,total_area,scan_date,notes,USDA_symbol,petiole,plot
lost-p6-l3,LOST,6,3,FALSE,3,0.473,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p7-all,LOST,7,NA,TRUE,47,6.243,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p7-l1,LOST,7,1,FALSE,1,0.378,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p7-l2,LOST,7,2,FALSE,5,0.395,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p7-l3,LOST,7,3,FALSE,2,0.321,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p8-all,LOST,8,NA,TRUE,82,14.272,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p8-l1,LOST,8,1,FALSE,1,0.65,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p8-l2,LOST,8,2,FALSE,1,0.6,2017-04-05,with_petiole,LOST4,TRUE,non_plot
lost-p8-l3,LOST,8,3,FALSE,5,0.445,2017-04-05,with_petiole,LOST4,TRUE,non_plot
brho-p1-all,BRHO,1,NA,TRUE,32,23.777,2017-04-06,,BRHO2,FALSE,non_plot
brho-p1-l1,BRHO,1,1,FALSE,3,2.978,2017-04-06,,BRHO2,FALSE,non_plot
brho-p1-l2,BRHO,1,2,FALSE,3,3.287,2017-04-06,,BRHO2,FALSE,non_plot
brho-p1-l3,BRHO,1,3,FALSE,3,2.6,2017-04-06,,BRHO2,FALSE,non_plot
brho-p2-all,BRHO,2,NA,TRUE,17,15.314,2017-04-06,,BRHO2,FALSE,non_plot
brho-p2-l1,BRHO,2,1,FALSE,4,2.712,2017-04-06,,BRHO2,FALSE,non_plot
brho-p2-l2,BRHO,2,2,FALSE,2,2.786,2017-04-06,,BRHO2,FALSE,non_plot
brho-p2-l3,BRHO,2,3,FALSE,4,1.502,2017-04-06,,BRHO2,FALSE,non_plot
brho-p3-all,BRHO,3,NA,TRUE,33,19.449,2017-04-06,,BRHO2,FALSE,non_plot
