species,USDA_symbol,plot,plant_number,SRL
CEME,CEME2,761,3,6863.248
NA,CEME2,757,4,NA
CEME,CEME2,758,3,7361.224489795919
NA,CEME2,Comp,4,NA
AGHE,URLI5,749,4,27158.785714285714
AGHE,URLI5,746,1,23134.13333333333
AGHE,URLI5,749,1,16146.708333333334
AGHE,URLI5,748,2,117932
NA,NA,74_,1,NA
AGHE,URLI5,748,5,30962.307692307695
AGHE,URLI5,746,5,27076.166666666668
AGHE,URLI5,756,1,9352.916666666668
AGHE,URLI5,760,3,19939.499999999996
AGHE,URLI5,746,3,22763.749999999996
NA,URLI5,Comp,5,NA
LOPU,LOAM5,745,1,5790.934782608696
LOPU,LOAM5,754,1,3472.2361111111113
LOPU,LOAM5,759,1,13296.2
LOPU,LOAM5,762,5,18231.64
LOPU,LOAM5,741,1,10129.204545454544
NA,LOPE,Comp,4,NA
LOPU,LOAM5,760,2,6013.6
GAAP,GAAP2,non_plot,3,NA
LOTUS2,LOST4,non_plot,4,NA
NAPU,STPU2,non_plot,3,NA
AGHE,URLI5,comp,3,NA
CEME,CEME2,comp,4,NA
CEME,CEME2,comp-757,4,NA
CEME,CEME2,749,,NA
AGHE,URLI5,753,2,NA
AGHE,URLI5,753,3,NA
CEME,CEME2,comp,3,NA
CEME,CEME2,comp,2,NA
CEME,CEME2,CAGE-lambda,1,NA
CEME,CEME2,,5,NA
CAGE,NA,CEME-lambda,2,NA
AGHE,URLI5,,8,NA
AGHE,URLI5,763,3(3),NA
AGHE,URLI5,,6,NA
AGHE,URLI5,,7,NA
AGHE,URLI5,,4,NA
AGHE,URLI5,,5,NA
AGHE,URLI5,,1,NA
MICA,MICA,749,5,NA
LOPU,LOAM5,754,2,NA
LOMU,LOPE,comp,4,NA
AGHE,URLI5,comp,5,NA
HEHE,NA,74?,1,NA
MICA,MICA,763,4,NA
MICA,MICA,761,5,NA
MICA,MICA,761,2,NA
MICA,MICA,761,3,NA
MICA,MICA,comp,1,NA
BRMA,BRMA3,756,3,NA
BRMA,BRMA3,749,4,NA
BRMA,BRMA3,756,2,NA
BRMA,BRMA3,749,2,NA
BRMA,BRMA3,756,4,NA
BRMA,BRMA3,760,5,NA
BRMA,BRMA3,749,3,NA
BRMA,BRMA3,749,5,NA
BRMA,BRMA3,756,1,NA
BRMA,BRMA3,749,1,NA
AVFA,AVFA,non_plot,3,NA
AVFA,AVFA,non_plot,4,NA
