sequence,date,species,USDA_symbol,plot,plant_number,leaf_number,petiole,leaf_length_cm,leaf_width_cm,wet_mass_g,dry_mass_g,SLA,LDMC,LA,censor
220,2017-04-04,linanthus,LEPA51,non_plot,2,1,FALSE,1.1,1.4,0.00671,9.11e-4,315.0384193194292,0.13576751117734726,0.287,FALSE
221,2017-04-04,linanthus,LEPA51,non_plot,2,2,FALSE,1.2,1.6,0.00995,0.00218,174.77064220183485,0.21909547738693466,0.381,FALSE
222,2017-04-04,linanthus,LEPA51,non_plot,2,3,FALSE,1.6,1.1,0.00879,0.00168,208.33333333333331,0.19112627986348124,0.35,FALSE
223,2017-04-04,linanthus,LEPA51,non_plot,3,1,FALSE,0.9,0.5,0.0018,4.3e-4,227.90697674418607,0.2388888888888889,0.098,FALSE
224,2017-04-04,linanthus,LEPA51,non_plot,3,2,FALSE,0.9,0.9,0.00204,4.6e-4,271.7391304347826,0.22549019607843138,0.125,FALSE
225,2017-04-04,linanthus,LEPA51,non_plot,3,3,FALSE,1.1,0.8,0.00286,7.7e-4,193.5064935064935,0.2692307692307692,0.149,FALSE
226,2017-04-04,linanthus,LEPA51,non_plot,4,1,FALSE,0.9,1.1,0.00302,6.2e-4,296.7741935483871,0.2052980132450331,0.184,FALSE
227,2017-04-04,linanthus,LEPA51,non_plot,4,2,FALSE,1.4,1.2,0.00403,9.5e-4,212.63157894736844,0.23573200992555832,0.202,FALSE
228,2017-04-04,linanthus,LEPA51,non_plot,4,3,FALSE,1.3,0.9,0.00379,8.6e-4,197.67441860465118,0.22691292875989447,0.17,FALSE
229,2017-04-04,linanthus,LEPA51,non_plot,5,1,FALSE,0.7,0.7,0.00167,2.9e-4,389.65517241379314,0.17365269461077845,0.113,FALSE
230,2017-04-04,linanthus,LEPA51,non_plot,5,2,FALSE,1,0.7,0.003,5.6e-4,298.2142857142858,0.18666666666666665,0.167,FALSE
231,2017-04-04,linanthus,LEPA51,non_plot,5,3,FALSE,1.1,0.9,0.00416,8.6e-4,240.69767441860463,0.20673076923076925,0.207,FALSE
232,2017-04-04,linanthus,LEPA51,non_plot,6,1,FALSE,1,0.7,0.0056,0.00109,204.58715596330273,0.19464285714285715,0.223,FALSE
233,2017-04-04,linanthus,LEPA51,non_plot,6,2,FALSE,0.9,1.2,0.00589,0.00129,175.19379844961242,0.21901528013582341,0.226,FALSE
234,2017-04-04,linanthus,LEPA51,non_plot,6,3,FALSE,0.9,1.2,0.00663,0.00123,235.77235772357722,0.18552036199095023,0.29,FALSE
235,2017-04-04,linanthus,LEPA51,non_plot,7,1,FALSE,1.8,1.9,0.00815,0.00176,195.45454545454544,0.2159509202453988,0.344,FALSE
236,2017-04-04,linanthus,LEPA51,non_plot,7,2,FALSE,1.1,1.7,0.00781,0.00138,288.4057971014493,0.176696542893726,0.398,FALSE
237,2017-04-04,linanthus,LEPA51,non_plot,7,3,FALSE,1,1.5,0.00448,7.9e-4,315.1898734177215,0.17633928571428573,0.249,FALSE
