"Slice","Count","Total.Area","Average.Size","X.Area","Mean","notes","date","Species","plant","leaf","all"
"lubi-p4-all",12,7.7,0.642,1.492,251.4,"with_petiole",2017-04-06,"lubi","p4",NA,TRUE
"lubi-p4-l1",1,1.784,1.784,0.346,254.647,"with_petiole",2017-04-06,"lubi","p4","l1",FALSE
"lubi-p4-l2",1,2.553,2.553,0.495,254.864,"with_petiole",2017-04-06,"lubi","p4","l2",FALSE
"lubi-p4-l3",1,1.304,1.304,0.253,254.467,"with_petiole",2017-04-06,"lubi","p4","l3",FALSE
"lubi-p5-all",9,4.729,0.525,0.916,254.592,"with_petiole",2017-04-06,"lubi","p5",NA,TRUE
"lubi-p5-l1",1,1.367,1.367,0.265,254.635,"with_petiole",2017-04-06,"lubi","p5","l1",FALSE
"lubi-p5-l2",1,0.816,0.816,0.158,253.443,"with_petiole",2017-04-06,"lubi","p5","l2",FALSE
"lubi-p5-l3",1,0.67,0.67,0.13,253.301,"with_petiole",2017-04-06,"lubi","p5","l3",FALSE
"lubi-p6-all",23,28.906,1.257,5.601,254.517,"with_petiole",2017-04-06,"lubi","p6",NA,TRUE
"lubi-p6-l1",2,2.27,1.135,0.44,252.629,"with_petiole",2017-04-06,"lubi","p6","l1",FALSE
"lubi-p6-l2",1,2.189,2.189,0.424,254.595,"with_petiole",2017-04-06,"lubi","p6","l2",FALSE
"lubi-p6-l3",1,2.937,2.937,0.569,254.785,"with_petiole",2017-04-06,"lubi","p6","l3",FALSE
"lubi-p7-all",14,3.691,0.264,0.715,253.567,"with_petiole",2017-04-06,"lubi","p7",NA,TRUE
"lubi-p7-l1",2,2.132,1.066,0.413,252.716,"with_petiole",2017-04-06,"lubi","p7","l1",FALSE
"lubi-p7-l2",1,1.307,1.307,0.253,254.241,"with_petiole",2017-04-06,"lubi","p7","l2",FALSE
"lubi-p7-l3",2,1.007,0.504,0.195,252.81,"with_petiole",2017-04-06,"lubi","p7","l3",FALSE
"lubi-p8-all",12,2.908,0.242,0.564,253.96,"with_petiole",2017-04-06,"lubi","p8",NA,TRUE
"lubi-p8-l1",1,1.491,1.491,0.289,254.243,"with_petiole",2017-04-06,"lubi","p8","l1",FALSE
"lubi-p8-l2",1,1.258,1.258,0.244,253.02,"with_petiole",2017-04-06,"lubi","p8","l2",FALSE
"lubi-p8-l3",4,0.467,0.117,0.091,252.225,"with_petiole",2017-04-06,"lubi","p8","l3",FALSE
"vipe-p1-all",20,42.384,2.119,7.033,254.917,"with_petiole",2017-04-06,"vipe","p1",NA,TRUE
"vipe-p1-l1",1,5.995,5.995,0.995,254.915,"with_petiole",2017-04-06,"vipe","p1","l1",FALSE
"vipe-p1-l2",1,6.83,6.83,1.133,254.957,"with_petiole",2017-04-06,"vipe","p1","l2",FALSE
"vipe-p1-l3",1,3.83,3.83,0.635,254.803,"with_petiole",2017-04-06,"vipe","p1","l3",FALSE
"vipe-p2-all",34,86.409,2.541,14.338,254.74,"with_petiole",2017-04-06,"vipe","p2",NA,TRUE
"vipe-p2-l1",1,8.724,8.724,1.448,254.984,"with_petiole",2017-04-06,"vipe","p2","l1",FALSE
"vipe-p2-l2",1,6.442,6.442,1.069,254.984,"with_petiole",2017-04-06,"vipe","p2","l2",FALSE
"vipe-p2-l3",2,6.583,3.292,1.092,254.922,"with_petiole",2017-04-06,"vipe","p2","l3",FALSE
"vipe-p3-all",13,33.266,2.559,5.52,254.597,"with_petiole",2017-04-06,"vipe","p3",NA,TRUE
"vipe-p3-l1",3,2.671,0.89,0.443,254.947,"with_petiole",2017-04-06,"vipe","p3","l1",FALSE
"vipe-p3-l2",3,8.864,2.955,1.471,254.958,"with_petiole",2017-04-06,"vipe","p3","l2",FALSE
"vipe-p3-l3",2,7.065,3.533,1.172,254.655,"with_petiole",2017-04-06,"vipe","p3","l3",FALSE
"vipe-p4-all-1",39,81.773,2.097,13.569,254.467,"with_petiole",2017-04-06,"vipe","p4",NA,TRUE
"vipe-p4-all-2",41,74.967,1.828,12.439,254.381,"with_petiole",2017-04-06,"vipe","p4",NA,TRUE
"vipe-p4-l1",2,3.143,1.571,0.521,254.38,"with_petiole",2017-04-06,"vipe","p4","l1",FALSE
"vipe-p4-l2",2,5.613,2.807,0.931,254.555,"with_petiole",2017-04-06,"vipe","p4","l2",FALSE
"vipe-p4-l3",4,5.526,1.382,0.917,254.137,"with_petiole",2017-04-06,"vipe","p4","l3",FALSE
"vipe-p5-all",7,12.482,1.783,2.071,254.934,"with_petiole",2017-04-06,"vipe","p5",NA,TRUE
"vipe-p5-l1",1,2.936,2.936,0.487,254.9,"with_petiole",2017-04-06,"vipe","p5","l1",FALSE
"vipe-p5-l2",1,3.732,3.732,0.619,254.548,"with_petiole",2017-04-06,"vipe","p5","l2",FALSE
"vipe-p5-l3",1,4.003,4.003,0.664,254.887,"with_petiole",2017-04-06,"vipe","p5","l3",FALSE
"vipe-p6-all",15,23.125,1.542,3.837,254.295,"with_petiole",2017-04-06,"vipe","p6",NA,TRUE
"vipe-p6-l1",3,4.958,1.653,0.823,254.711,"with_petiole",2017-04-06,"vipe","p6","l1",FALSE
"vipe-p6-l2",3,2.745,0.915,0.455,254.573,"with_petiole",2017-04-06,"vipe","p6","l2",FALSE
"vipe-p6-l3",2,4.651,2.325,0.772,253.77,"with_petiole",2017-04-06,"vipe","p6","l3",FALSE
"vipe-p7-all-1",53,73.449,1.386,12.188,253.745,"with_petiole",2017-04-06,"vipe","p7",NA,TRUE
"vipe-p7-all-2",27,19.501,0.722,3.236,254.764,"with_petiole",2017-04-06,"vipe","p7",NA,TRUE
"vipe-p7-l1",1,2.421,2.421,0.402,254.889,"with_petiole",2017-04-06,"vipe","p7","l1",FALSE
"vipe-p7-l2",1,2.201,2.201,0.365,254.934,"with_petiole",2017-04-06,"vipe","p7","l2",FALSE
"vipe-p7-l3",1,2.809,2.809,0.466,254.974,"with_petiole",2017-04-06,"vipe","p7","l3",FALSE
"vipe-p8-all",55,97.107,1.766,16.113,254.325,"with_petiole",2017-04-06,"vipe","p8",NA,TRUE
"vipe-p8-l1",1,5.51,5.51,0.914,254.991,"with_petiole",2017-04-06,"vipe","p8","l1",FALSE
"vipe-p8-l2",3,8.08,2.693,1.341,254.924,"with_petiole",2017-04-06,"vipe","p8","l2",FALSE
"vipe-p8-l3",2,6.563,3.282,1.089,253.861,"with_petiole",2017-04-06,"vipe","p8","l3",FALSE
"vipe-p1-l1",1,5.01,5.01,0.831,254.998,"no_petiole",2017-04-06,"vipe","p1","l1",FALSE
"vipe-p1-l2",1,5.796,5.796,0.962,254.996,"no_petiole",2017-04-06,"vipe","p1","l2",FALSE
"vipe-p1-l3",1,3.253,3.253,0.54,254.996,"no_petiole",2017-04-06,"vipe","p1","l3",FALSE
"vipe-p2-l1",1,7.526,7.526,1.249,254.999,"no_petiole",2017-04-06,"vipe","p2","l1",FALSE
"vipe-p2-l2",1,5.517,5.517,0.915,254.998,"no_petiole",2017-04-06,"vipe","p2","l2",FALSE
"vipe-p2-l3",1,5.874,5.874,0.975,254.991,"no_petiole",2017-04-06,"vipe","p2","l3",FALSE
"vipe-p3-l1",3,2.228,0.743,0.37,254.957,"no_petiole",2017-04-06,"vipe","p3","l1",FALSE
"vipe-p3-l2",3,7.96,2.653,1.321,254.959,"no_petiole",2017-04-06,"vipe","p3","l2",FALSE
"vipe-p3-l3",1,6.24,6.24,1.035,254.997,"no_petiole",2017-04-06,"vipe","p3","l3",FALSE
"vipe-p4-l1",1,2.715,2.715,0.451,254.997,"no_petiole",2017-04-06,"vipe","p4","l1",FALSE
"vipe-p4-l2",1,5.003,5.003,0.83,254.986,"no_petiole",2017-04-06,"vipe","p4","l2",FALSE
"vipe-p4-l3",3,4.905,1.635,0.814,254.992,"no_petiole",2017-04-06,"vipe","p4","l3",FALSE
"vipe-p5-l1",1,2.57,2.57,0.426,254.998,"no_petiole",2017-04-06,"vipe","p5","l1",FALSE
"vipe-p5-l2",1,3.142,3.142,0.521,254.999,"no_petiole",2017-04-06,"vipe","p5","l2",FALSE
"vipe-p5-l3",1,3.442,3.442,0.571,254.999,"no_petiole",2017-04-06,"vipe","p5","l3",FALSE
"vipe-p6-l1",3,4.309,1.436,0.715,254.948,"no_petiole",2017-04-06,"vipe","p6","l1",FALSE
"vipe-p6-l2",3,2.425,0.808,0.402,254.61,"no_petiole",2017-04-06,"vipe","p6","l2",FALSE
"vipe-p6-l3",2,3.96,1.98,0.657,254.961,"no_petiole",2017-04-06,"vipe","p6","l3",FALSE
"vipe-p7-l1",1,1.855,1.855,0.308,254.99,"no_petiole",2017-04-06,"vipe","p7","l1",FALSE
"vipe-p7-l2",1,1.749,1.749,0.29,254.987,"no_petiole",2017-04-06,"vipe","p7","l2",FALSE
"vipe-p7-l3",1,2.065,2.065,0.343,254.991,"no_petiole",2017-04-06,"vipe","p7","l3",FALSE
"vipe-p8-l1",1,4.825,4.825,0.801,254.999,"no_petiole",2017-04-06,"vipe","p8","l1",FALSE
"vipe-p8-l2",2,6.993,3.497,1.16,254.916,"no_petiole",2017-04-06,"vipe","p8","l2",FALSE
"vipe-p8-l3",2,5.728,2.864,0.95,254.95,"no_petiole",2017-04-06,"vipe","p8","l3",FALSE
"vumy-p4-all",20,18.613,0.931,3.089,254.891,"",2017-04-06,"vumy","p4",NA,TRUE
"vumy-p4-l1",3,1.796,0.599,0.298,255,"",2017-04-06,"vumy","p4","l1",FALSE
"vumy-p4-l2",1,1.543,1.543,0.256,255,"",2017-04-06,"vumy","p4","l2",FALSE
"vumy-p4-l3",3,1.561,0.52,0.259,254.986,"",2017-04-06,"vumy","p4","l3",FALSE
"vumy-p5-all",23,8.704,0.378,1.444,254.927,"",2017-04-06,"vumy","p5",NA,TRUE
"vumy-p5-l1",5,1.388,0.278,0.23,254.852,"",2017-04-06,"vumy","p5","l1",FALSE
"vumy-p5-l2",4,1.508,0.377,0.25,254.949,"",2017-04-06,"vumy","p5","l2",FALSE
"vumy-p5-l3",3,1.329,0.443,0.221,254.997,"",2017-04-06,"vumy","p5","l3",FALSE
"vumy-p6-all",36,8.669,0.241,1.438,254.825,"",2017-04-06,"vumy","p6",NA,TRUE
"vumy-p6-l1",1,0.27,0.27,0.045,254.915,"",2017-04-06,"vumy","p6","l1",FALSE
"vumy-p6-l2",2,0.561,0.281,0.093,254.886,"",2017-04-06,"vumy","p6","l2",FALSE
"vumy-p6-l3",3,0.381,0.127,0.063,254.797,"",2017-04-06,"vumy","p6","l3",FALSE
"vumy-p7-all",49,21.706,0.443,3.602,254.942,"",2017-04-06,"vumy","p7",NA,TRUE
"vumy-p7-l1",5,2.474,0.495,0.411,254.592,"",2017-04-06,"vumy","p7","l1",FALSE
"vumy-p7-l2",7,3.601,0.514,0.597,254.982,"",2017-04-06,"vumy","p7","l2",FALSE
"vumy-p7-l3",8,2.554,0.319,0.424,254.999,"",2017-04-06,"vumy","p7","l3",FALSE
"vumy-p8-all",31,11.429,0.369,1.896,254.752,"",2017-04-06,"vumy","p8",NA,TRUE
"vumy-p8-l1",3,1.446,0.482,0.24,254.798,"",2017-04-06,"vumy","p8","l1",FALSE
"vumy-p8-l2",3,1.317,0.439,0.218,254.863,"",2017-04-06,"vumy","p8","l2",FALSE
"vumy-p8-l3",3,1.2,0.4,0.199,254.946,"",2017-04-06,"vumy","p8","l3",FALSE
"microseris-p1-all",4,8.094,2.023,1.246,254.708,"",2017-04-10,"microseris","p1",NA,TRUE
"microseris-p1-l1",2,2.603,1.302,0.401,254.467,"",2017-04-10,"microseris","p1","l1",FALSE
"microseris-p1-l2",1,2.538,2.538,0.391,254.157,"",2017-04-10,"microseris","p1","l2",FALSE
"microseris-p1-l3",2,3.134,1.567,0.482,253.633,"",2017-04-10,"microseris","p1","l3",FALSE
"microseris-p2-all",5,11.521,2.304,1.773,254.138,"",2017-04-10,"microseris","p2",NA,TRUE
"microseris-p2-l1",1,4.271,4.271,0.657,252.612,"",2017-04-10,"microseris","p2","l1",FALSE
"microseris-p2-l2",1,3.341,3.341,0.514,252.429,"",2017-04-10,"microseris","p2","l2",FALSE
"microseris-p2-l3",1,3.494,3.494,0.538,252.109,"",2017-04-10,"microseris","p2","l3",FALSE
"microseris-p3-all",9,12.474,1.386,1.92,251.737,"",2017-04-10,"microseris","p3",NA,TRUE
"microseris-p3-l1",2,4.251,2.125,0.654,254.027,"",2017-04-10,"microseris","p3","l1",FALSE
"microseris-p3-l2",1,2.677,2.677,0.412,254.31,"",2017-04-10,"microseris","p3","l2",FALSE
"microseris-p3-l3",2,3.953,1.976,0.608,252.49,"",2017-04-10,"microseris","p3","l3",FALSE
"microseris-p4-all",5,6.285,1.257,0.967,254.475,"",2017-04-10,"microseris","p4",NA,TRUE
"microseris-p4-l1",1,1.539,1.539,0.237,249.621,"",2017-04-10,"microseris","p4","l1",FALSE
"microseris-p4-l2",1,1.599,1.599,0.246,253.677,"",2017-04-10,"microseris","p4","l2",FALSE
"microseris-p4-l3",1,1.591,1.591,0.245,250.641,"",2017-04-10,"microseris","p4","l3",FALSE
"microseris-p5-all",6,12.79,2.132,1.969,251.091,"",2017-04-10,"microseris","p5",NA,TRUE
"microseris-p5-l1",1,5.814,5.814,0.895,253.768,"",2017-04-10,"microseris","p5","l1",FALSE
"microseris-p5-l2",3,6.289,2.096,0.968,253.464,"",2017-04-10,"microseris","p5","l2",FALSE
"microseris-p5-l3",1,3.915,3.915,0.603,250.924,"",2017-04-10,"microseris","p5","l3",FALSE
"microseris-p6-all",3,11.896,3.965,1.831,254.558,"",2017-04-10,"microseris","p6",NA,TRUE
"microseris-p6-l1",2,5.694,2.847,0.876,253.926,"",2017-04-10,"microseris","p6","l1",FALSE
"microseris-p6-l2",3,4.261,1.42,0.656,254.802,"",2017-04-10,"microseris","p6","l2",FALSE
"microseris-p6-l3",3,1.942,0.647,0.299,252.188,"",2017-04-10,"microseris","p6","l3",FALSE
"microseris-p7-all",5,11.162,2.232,1.718,253.957,"",2017-04-10,"microseris","p7",NA,TRUE
"microseris-p7-l1",2,2.576,1.288,0.396,253.888,"",2017-04-10,"microseris","p7","l1",FALSE
"microseris-p7-l2",3,3.108,1.036,0.478,254.532,"",2017-04-10,"microseris","p7","l2",FALSE
"microseris-p7-l3",1,2.309,2.309,0.355,253.722,"",2017-04-10,"microseris","p7","l3",FALSE
"microseris-p8-all",5,6.935,1.387,1.067,254.231,"",2017-04-10,"microseris","p8",NA,TRUE
"microseris-p8-l1",1,2.669,2.669,0.411,254.74,"",2017-04-10,"microseris","p8","l1",FALSE
"microseris-p8-l2",2,2.37,1.185,0.365,254.672,"",2017-04-10,"microseris","p8","l2",FALSE
"microseris-p8-l3",1,2.021,2.021,0.311,254.806,"",2017-04-10,"microseris","p8","l3",FALSE
"avfa-p1-all",30,67.39,2.246,10.46,254.862,"",2017-05-10,"avfa","p1",NA,TRUE
"avfa-p1-l1",4,7.109,1.777,1.103,254.937,"",2017-05-10,"avfa","p1","l1",FALSE
"avfa-p1-l2",4,8.253,2.063,1.281,254.963,"",2017-05-10,"avfa","p1","l2",FALSE
"avfa-p1-l3",4,8.482,2.12,1.317,254.798,"",2017-05-10,"avfa","p1","l3",FALSE
"avfa-p2-all",14,60.203,4.3,9.344,254.764,"",2017-05-10,"avfa","p2",NA,TRUE
"avfa-p2-l1",3,4.82,1.607,0.748,254.905,"",2017-05-10,"avfa","p2","l1",FALSE
"avfa-p2-l2",3,9.669,3.223,1.501,254.981,"",2017-05-10,"avfa","p2","l2",FALSE
"avfa-p2-l3",3,8.937,2.979,1.387,254.977,"",2017-05-10,"avfa","p2","l3",FALSE
"avfa-p3-all",24,94.819,3.951,14.717,253.524,"",2017-05-10,"avfa","p3",NA,TRUE
"avfa-p3-l1",6,6.954,1.159,1.079,254.884,"",2017-05-10,"avfa","p3","l1",FALSE
"avfa-p3-l2",6,11.603,1.934,1.801,254.501,"",2017-05-10,"avfa","p3","l2",FALSE
"avfa-p3-l3",6,8.694,1.449,1.349,254.694,"",2017-05-10,"avfa","p3","l3",FALSE
"avfa-p4-all",17,69.445,4.085,10.779,254.708,"",2017-05-10,"avfa","p4",NA,TRUE
"avfa-p4-l1",4,14.06,3.515,2.182,254.712,"",2017-05-10,"avfa","p4","l1",FALSE
"avfa-p4-l2",4,10.291,2.573,1.597,254.885,"",2017-05-10,"avfa","p4","l2",FALSE
"avfa-p4-l3",5,18.342,3.668,2.847,254.252,"",2017-05-10,"avfa","p4","l3",FALSE
"avfa-p5-all",24,66.162,2.757,10.269,254.724,"",2017-05-10,"avfa","p5",NA,TRUE
"avfa-p5-l1",3,8.681,2.894,1.347,254.534,"",2017-05-10,"avfa","p5","l1",FALSE
"avfa-p5-l2",5,10.809,2.162,1.678,254.896,"",2017-05-10,"avfa","p5","l2",FALSE
"avfa-p5-l3",3,7.02,2.34,1.09,254.881,"",2017-05-10,"avfa","p5","l3",FALSE
"avfa-p6-all",23,59.522,2.588,9.239,254.864,"",2017-05-10,"avfa","p6",NA,TRUE
"avfa-p6-l1",8,9.024,1.128,1.401,254.941,"",2017-05-10,"avfa","p6","l1",FALSE
"avfa-p6-l2",5,7.97,1.594,1.237,254.973,"",2017-05-10,"avfa","p6","l2",FALSE
"avfa-p6-l3",6,8.841,1.473,1.372,254.983,"",2017-05-10,"avfa","p6","l3",FALSE
"avfa-p7-all",25,81.023,3.241,12.576,254.615,"",2017-05-10,"avfa","p7",NA,TRUE
"avfa-p7-l1",6,9.817,1.636,1.524,254.626,"",2017-05-10,"avfa","p7","l1",FALSE
"avfa-p7-l2",5,12.572,2.514,1.951,254.827,"",2017-05-10,"avfa","p7","l2",FALSE
"avfa-p7-l3-1",4,6.79,1.697,1.054,254.975,"",2017-05-10,"avfa","p7","l3",FALSE
"avfa-p7-l3-2",0,0,NA,0,NA,"",2017-05-10,"avfa","p7","l3",FALSE
"avfa-p7-l3",4,6.79,1.697,1.054,254.975,"",2017-05-10,"avfa","p7","l3",FALSE
"avfa-p8-all",18,44.907,2.495,6.97,254.798,"",2017-05-10,"avfa","p8",NA,TRUE
"avfa-p8-l1",3,6.386,2.129,0.991,254.867,"",2017-05-10,"avfa","p8","l1",FALSE
"avfa-p8-l2",5,5.09,1.018,0.79,254.966,"",2017-05-10,"avfa","p8","l2",FALSE
"avfa-p8-l3",7,16.759,2.394,2.601,254.929,"",2017-05-10,"avfa","p8","l3",FALSE
"lase-p1-all",4,9.932,2.483,1.542,254.984,"",2017-05-10,"lase","p1",NA,TRUE
"lase-p1-l1",3,13.447,4.482,2.087,253.836,"",2017-05-10,"lase","p1","l1",FALSE
"lase-p1-l2",2,13.639,6.819,2.117,254.922,"",2017-05-10,"lase","p1","l2",FALSE
"lase-p1-l3",2,13.89,6.945,2.156,254.975,"",2017-05-10,"lase","p1","l3",FALSE
"lase-p2-all",8,38.947,4.868,6.045,254.693,"",2017-05-10,"lase","p2",NA,TRUE
"lase-p2-l1",3,11.378,3.793,1.766,254.784,"",2017-05-10,"lase","p2","l1",FALSE
"lase-p2-l2",3,14.433,4.811,2.24,254.562,"",2017-05-10,"lase","p2","l2",FALSE
"lase-p2-l3",2,18.856,9.428,2.927,250.375,"",2017-05-10,"lase","p2","l3",FALSE
"lase-p3-all",8,93.939,11.742,14.581,252.709,"",2017-05-10,"lase","p3",NA,TRUE
"lase-p3-l1",1,19.006,19.006,2.95,254.652,"",2017-05-10,"lase","p3","l1",FALSE
"lase-p3-l2",1,18.61,18.61,2.889,254.934,"",2017-05-10,"lase","p3","l2",FALSE
"lase-p3-l3",1,13.977,13.977,2.169,254.847,"",2017-05-10,"lase","p3","l3",FALSE
"lase-p4-all",19,116.971,6.156,18.156,254.632,"",2017-05-10,"lase","p4",NA,TRUE
"lase-p4-l1",2,15.803,7.902,2.453,254.425,"",2017-05-10,"lase","p4","l1",FALSE
"lase-p4-l2",3,22.595,7.532,3.507,254.507,"",2017-05-10,"lase","p4","l2",FALSE
"lase-p4-l3",4,17.758,4.439,2.756,253.943,"",2017-05-10,"lase","p4","l3",FALSE
"lase-p5-all",6,25.802,4.3,4.005,254.722,"",2017-05-10,"lase","p5",NA,TRUE
"lase-p5-l1",4,11.408,2.852,1.771,254.581,"",2017-05-10,"lase","p5","l1",FALSE
"lase-p5-l2",1,9.861,9.861,1.531,254.454,"",2017-05-10,"lase","p5","l2",FALSE
"lase-p5-l3",1,13.541,13.541,2.102,254.876,"",2017-05-10,"lase","p5","l3",FALSE
"lase-p6-all",6,36.456,6.076,5.658,254.836,"",2017-05-10,"lase","p6",NA,TRUE
"lase-p6-l1",1,14.983,14.983,2.326,254.921,"",2017-05-10,"lase","p6","l1",FALSE
"lase-p6-l2",2,20.983,10.491,3.257,251.818,"",2017-05-10,"lase","p6","l2",FALSE
"lase-p6-l3",2,19.129,9.565,2.969,254.71,"",2017-05-10,"lase","p6","l3",FALSE
"lase-p7-all-1",6,13.59,2.265,2.109,254.908,"",2017-05-10,"lase","p7",NA,TRUE
"lase-p7-all-2",0,0,NA,0,NA,"",2017-05-10,"lase","p7",NA,TRUE
"lase-p7-all",6,13.617,2.269,2.113,254.918,"",2017-05-10,"lase","p7",NA,TRUE
"lase-p7-l1",2,6.255,3.128,0.971,254.942,"",2017-05-10,"lase","p7","l1",FALSE
"lase-p7-l2",3,8.997,2.999,1.396,253.626,"",2017-05-10,"lase","p7","l2",FALSE
"lase-p7-l3",1,8.996,8.996,1.396,254.954,"",2017-05-10,"lase","p7","l3",FALSE
"lase-p8-all",5,24.337,4.867,3.778,254.892,"",2017-05-10,"lase","p8",NA,TRUE
"lase-p8-l1",1,9.899,9.899,1.536,254.981,"",2017-05-10,"lase","p8","l1",FALSE
"lase-p8-l2",3,13.016,4.339,2.02,252.915,"",2017-05-10,"lase","p8","l2",FALSE
"lomu-p1-l1",3,2.368,0.789,0.368,254.799,"",2017-05-10,"lomu","p1","l1",FALSE
"lomu-p1-l2",2,2.161,1.08,0.335,254.867,"",2017-05-10,"lomu","p1","l2",FALSE
"lomu-p1-l3",4,2.709,0.677,0.42,254.354,"",2017-05-10,"lomu","p1","l3",FALSE
"lomu-p2-all",70,74.398,1.063,11.548,254.843,"",2017-05-10,"lomu","p2",NA,TRUE
"lomu-p2-l1",3,2.67,0.89,0.414,254.989,"",2017-05-10,"lomu","p2","l1",FALSE
"lomu-p2-l2",3,3.203,1.068,0.497,254.609,"",2017-05-10,"lomu","p2","l2",FALSE
"lomu-p2-l3",3,2.793,0.931,0.434,254.989,"",2017-05-10,"lomu","p2","l3",FALSE
"lomu-p3-all",30,36.046,1.202,5.595,254.692,"",2017-05-10,"lomu","p3",NA,TRUE
"lomu-p3-l1",61,75.131,1.232,11.661,254.835,"",2017-05-10,"lomu","p3","l1",FALSE
"lomu-p3-l2",3,2.661,0.887,0.413,254.778,"",2017-05-10,"lomu","p3","l2",FALSE
"lomu-p3-l3",4,2.235,0.559,0.347,254.915,"",2017-05-10,"lomu","p3","l3",FALSE
"lomu-p4-all",31,30.821,0.994,4.784,254.852,"",2017-05-10,"lomu","p4",NA,TRUE
"lomu-p4-l1",2,2.254,1.127,0.35,254.898,"",2017-05-10,"lomu","p4","l1",FALSE
"lomu-p4-l2",4,2.174,0.544,0.337,254.96,"",2017-05-10,"lomu","p4","l2",FALSE
"lomu-p4-l3",3,2.365,0.788,0.367,254.875,"",2017-05-10,"lomu","p4","l3",FALSE
"lomu-p5-all",15,17.561,1.171,2.726,254.769,"",2017-05-10,"lomu","p5",NA,TRUE
"lomu-p5-l1",5,4.567,0.913,0.709,254.608,"",2017-05-10,"lomu","p5","l1",FALSE
"lomu-p5-l2",2,2.191,1.095,0.34,254.944,"",2017-05-10,"lomu","p5","l2",FALSE
"lomu-p5-l3",2,2.663,1.332,0.413,254.844,"",2017-05-10,"lomu","p5","l3",FALSE
"lomu-p6-all",23,23.966,1.042,3.72,254.931,"",2017-05-10,"lomu","p6",NA,TRUE
"lomu-p6-l1",6,5.011,0.835,0.778,254.891,"",2017-05-10,"lomu","p6","l1",FALSE
"lomu-p6-l2",3,2.341,0.78,0.363,254.114,"",2017-05-10,"lomu","p6","l2",FALSE
"lomu-p6-l3",3,3.132,1.044,0.486,254.781,"",2017-05-10,"lomu","p6","l3",FALSE
"lomu-p7-all",37,76.64,2.071,11.896,254.769,"",2017-05-10,"lomu","p7",NA,TRUE
"lomu-p7-l1",2,2.64,1.32,0.41,254.792,"",2017-05-10,"lomu","p7","l1",FALSE
"lomu-p7-l2",3,2.097,0.699,0.325,254.952,"",2017-05-10,"lomu","p7","l2",FALSE
"lomu-p7-l3",3,4.08,1.36,0.633,254.999,"",2017-05-10,"lomu","p7","l3",FALSE
"lomu-p8-all",11,11.082,1.007,1.72,254.918,"",2017-05-10,"lomu","p8",NA,TRUE
"lomu-p8-l1",3,2.069,0.69,0.321,254.412,"",2017-05-10,"lomu","p8","l1",FALSE
"lomu-p8-l2",4,3.815,0.954,0.592,254.717,"",2017-05-10,"lomu","p8","l2",FALSE
"lomu-p8-l3",2,1.487,0.744,0.231,254.994,"",2017-05-10,"lomu","p8","l3",FALSE
"capy-p1-all'",9,55.026,6.114,8.541,253.765,"",2017-05-11,"capy","p1",NA,TRUE
"capy-p1-l1",2,26.459,13.23,4.107,253.902,"",2017-05-11,"capy","p1","l1",FALSE
"capy-p1-l2",5,13.211,2.642,2.051,254.798,"",2017-05-11,"capy","p1","l2",FALSE
"capy-p1-l3",1,19.124,19.124,2.968,254.186,"",2017-05-11,"capy","p1","l3",FALSE
"capy-p2-all",12,132.61,11.051,20.583,254.042,"",2017-05-11,"capy","p2",NA,TRUE
"capy-p2-l1",7,38.485,5.498,5.973,254.575,"",2017-05-11,"capy","p2","l1",FALSE
"capy-p2-l2",6,23.654,3.942,3.671,254.475,"",2017-05-11,"capy","p2","l2",FALSE
"capy-p2-l3",4,16.032,4.008,2.488,254.753,"",2017-05-11,"capy","p2","l3",FALSE
"capy-p3-all-1",15,173.799,11.587,26.976,250.398,"",2017-05-11,"capy","p3",NA,TRUE
"capy-p3-all-2",0,0,NA,0,NA,"",2017-05-11,"capy","p3",NA,TRUE
"capy-p3-l1",2,38.072,19.036,5.909,253.189,"",2017-05-11,"capy","p3","l1",FALSE
"capy-p3-l2",3,39.491,13.164,6.13,254.852,"",2017-05-11,"capy","p3","l2",FALSE
"capy-p3-l3",4,9.952,2.488,1.545,254.503,"",2017-05-11,"capy","p3","l3",FALSE
"capy-p4-all",10,91.53,9.153,14.207,254.767,"",2017-05-11,"capy","p4",NA,TRUE
"capy-p4-l1",2,31.251,15.625,4.851,254.842,"",2017-05-11,"capy","p4","l1",FALSE
"capy-p4-l2",1,21.673,21.673,3.364,254.911,"",2017-05-11,"capy","p4","l2",FALSE
"capy-p4-l3",1,18.294,18.294,2.84,254.94,"",2017-05-11,"capy","p4","l3",FALSE
"capy-p5-all",11,95.181,8.653,14.774,254.547,"",2017-05-11,"capy","p5",NA,TRUE
"capy-p5-l1",2,29.585,14.792,4.592,254.983,"",2017-05-11,"capy","p5","l1",FALSE
"capy-p5-l2",4,24.828,6.207,3.854,254.531,"",2017-05-11,"capy","p5","l2",FALSE
"capy-p5-l3",2,11.002,5.501,1.708,254.881,"",2017-05-11,"capy","p5","l3",FALSE
"capy-p5.1-all",13,95.45,7.342,14.815,253.07,"",2017-05-11,"capy","p5",NA,TRUE
"capy-p5.1-l1",4,41.035,10.259,6.369,254.695,"",2017-05-11,"capy","p5","l1",FALSE
"capy-p5.1-l2",2,28.646,14.323,4.446,254.799,"",2017-05-11,"capy","p5","l2",FALSE
"capy-p6-all",11,151.959,13.814,23.586,254.223,"",2017-05-11,"capy","p6",NA,TRUE
"capy-p6-l1",2,33.153,16.576,5.146,254.171,"",2017-05-11,"capy","p6","l1",FALSE
