sequence,USDA_symbol,plot,plant_number,height,width,length,extra
2358,NAAT,749,1,14,17,12,14 17 12 using quarter of plant NA
2361,NAAT,749,2,11,18,16,11 18 16 NA NA
2364,NAAT,749,3,6,9,3,6 9 3 NA NA
2367,NAAT,749,4,7,4,4,7 4 4 NA NA
2370,NAAT,749,5,7,4,4,7 4 4 NA NA
2373,LOAM5,753,1,9,13,10,9 13 10 NA NA
2376,LOAM5,754,1,7,8,5,7 8 5 NA NA
2379,LOAM5,754,2,4,3,3,4 3 3 NA NA
2382,LOAM5,754,3,6,6,4,6 6 4 NA NA
2385,CLPU2,749,1,5,7,8,5 7 8 NA NA
2388,LOAM5,757,1,11,8,6,11 8 6 NA NA
2391,LOAM5,757,2,12,2,2,12 2 2 NA NA
2394,LOAM5,757,3,5,4,2,5 4 2 NA NA
2397,LOAM5,757,4,10,7,6,10 7 6 NA NA
2424,CLPU2,756,1,20,13,13,20 13 13 NA NA
2427,CLPU2,756,2,24,12,9,24 12 9 NA NA
2430,CLPU2,756,3,12,15,6,12 15 6 using half of plant NA
2433,CLPU2,756,4,17,5,5,17 5 5 NA NA
2436,CLPU2,756,5,11.5,3,2,11.5 3 2 NA NA
2439,LOAM5,756,1,16,17,16,16 17 16 using half of plant NA
2442,LOAM5,756,2,5,1,1,5 1 1 NA NA
2445,LOAM5,756,3,6,1.5,1,6 1.5 1 NA NA
2448,LOAM5,756,4,9,10,4,9 10 4 NA NA
2451,LOAM5,756,5,13,2,1,13 2 1 NA NA
2454,NAAT,757,1,9,12,8,9 12 8 using half of plant NA
2457,NAAT,757,2,6,8,6,6 8 6 NA NA
2460,NAAT,757,3,9,6,4,9 6 4 NA NA
2463,NAAT,757,4,4,6,5,4 6 5 NA NA
2466,NAAT,757,5,9,10,10,9 10 10 NA NA
2469,CLBO,756,1,32,2,2,32 2 2 NA NA
2472,CLBO,756,2,28,1,1,"28 1 1 leaf folding in half, double for leaf area NA"
2475,CLBO,756,3,23,1,1,"23 1 1 leaf folding in half, double for leaf area NA"
2478,HECO7,757,1,14,8,5,14 8 5 NA NA
2481,HECO7,757,2,10,8,9,10 8 9 NA NA
2484,HECO7,757,3,10,9,6,10 9 6 NA NA
2487,CLBO,757,1,17,14,4,17 14 4 NA NA
2490,CLPU2,757,1,11,8,6,11 8 6 NA NA
2493,CLPU2,757,2,20,7,4,20 7 4 NA NA
2496,CLPU2,757,3,23,10,6,23 10 6 NA NA
2499,CLPU2,757,4,14,6,4,14 6 4 NA NA
2502,CLPU2,757,5,13,10,6,13 10 6 NA NA
2505,LOAM5,762,1,12,43,12,12 43 12 NA NA
2508,CLPU2,762,1,35,13,10,35 13 10 NA NA
2511,CLPU2,762,2,38,19,15,38 19 15 using half of plant NA
2514,CLPU2,762,3,29,18,8,29 18 8 NA NA
2517,CLPU2,762,4,31,45,35,31 45 35 using quarter of plant NA
2520,CLPU2,762,5,27,25,29,27 25 29 using quarter of plant NA
2523,LOAM5,763,1,9,4,2,"9 4 2 growing with other LOPUs, not a lambda individual NA"
2526,LOAM5,763,2,9,10,6,9 10 6 NA NA
2529,LOAM5,763,3,6,4,2,6 4 2 NA NA
2532,LOAM5,763,4,8,7,2,8 7 2 NA NA
2535,LOAM5,763,5,7,3,1,7 3 1 NA NA
2538,HECO7,763,1,12,10,9,"12 10 9 included some brown leaves in all leaves scan, these leaves were green till very recently NA"
2541,HECO7,763,2,8,7,7,8 7 7 NA NA
2544,HECO7,763,3,13,11,9,13 11 9 NA NA
2547,HECO7,763,4,9.5,7,5,9.5 7 5 NA NA
2550,CLBO,763,1,23,3,3,"23 3 3 leaf curling, double for leaf area NA"
2553,CEME2,760,1,17.5,14,3,17.5 14 3 NA NA
2556,CEME2,760,2,23,15,7,23 15 7 NA NA
2559,CEME2,760,3,30,14,6,30 14 6 NA NA
2562,CEME2,760,4,24,8,4,24 8 4 NA NA
2565,CEME2,760,5,23,9,4,23 9 4 NA NA
2568,CLPU2,760,1,9,9,5,9 9 5 herbivory NA
2571,CLPU2,760,2,7,7.5,7,7 7.5 7 half of plant NA
2574,CLPU2,760,3,13.5,16,9,13.5 16 9 half of plant NA
2577,CLPU2,760,4,7,6.5,6.5,7 6.5 6.5 NA NA
2580,CLPU2,760,5,7.5,5.5,3,7.5 5.5 3 NA NA
2583,HECO7,760,1,18,10,8,18 10 8 NA NA
2586,HECO7,760,2,30,14,11,30 14 11 NA NA
2589,HECO7,760,3,29,14,14,29 14 14 NA NA
2592,HECO7,760,4,12.5,15,15,12.5 15 15 NA NA
2595,HECO7,760,5,12,11,10,12 11 10 NA NA
2598,CEME2,761,1,18,3,3,18 3 3 NA NA
2601,CEME2,761,2,26,14,10,26 14 10 NA NA
2604,CEME2,761,3,23,11,7,23 11 7 NA NA
2607,CEME2,761,4,21,9,4,21 9 4 NA NA
2610,CEME2,761,5,11,12,10,11 12 10 NA NA
2613,HECO7,761,1,20,24,14,20 24 14 NA NA
2616,HECO7,761,2,20,23.5,9.5,20 23.5 9.5 using half of plant NA
2619,HECO7,761,3,33,30,24,33 30 24 using fourth of plant NA
2625,HECO7,761,5,10,22,12,10 22 12 using half of plant NA
2628,CLPU2,761,1,8,8,6,8 8 6 NA NA
2631,CLPU2,761,2,6.5,6,7,6.5 6 7 NA NA
2634,CLPU2,761,3,6.5,7,8,6.5 7 8 NA NA
2637,CLPU2,761,4,8,7.5,7,8 7.5 7 NA NA
2640,LOAM5,761,1,9,6.5,4.5,9 6.5 4.5 NA NA
2643,LOAM5,761,2,7,6,5,7 6 5 NA NA
2646,NAAT,760,1,9,19,8.5,9 19 8.5 using half of plant NA
2649,NAAT,760,2,7,7.5,5.5,7 7.5 5.5 using half of plant NA
2652,NAAT,760,3,12,30,19,12 30 19 using fourth of plant NA
2655,NAAT,760,4,9,25,15,9 25 15 using fourth of plant NA
2661,NAAT,761,2,26,46,50,26 46 50 NA NA
2664,LOAM5,760,1,11,3.5,2,11 3.5 2 NA NA
2667,LOAM5,760,2,10,7,6,10 7 6 herbivory on plants NA
2670,LOAM5,760,3,11,6,3,11 6 3 NA NA
2673,NAAT,762,1,5,7,3,5 7 3 NA NA
2676,LOAM5,762,2,12,14,12,12 14 12 NA NA
2679,LOAM5,762,3,17,49,37,17 49 37 using quarter of plant NA
2682,LOAM5,762,4,15,27,23,15 27 23 using half of plant NA
2688,CEME2,762,1,46,35,42,46 35 42 using quarter of plant NA
2691,CEME2,762,2,35,26,19,35 26 19 using half of plant NA
2694,CEME2,762,3,38,48,38,38 48 38 using half of plant NA
2700,CLPU2,762,1,50,50,40,50 50 40 using quarter of plant NA
2703,CLPU2,762,2,12,13,10,12 13 10 NA NA
