species,height
Lupinus bicolor,16
Lupinus bicolor,20
Lupinus bicolor,21
Lupinus bicolor,12
Lupinus bicolor,13
Lupinus bicolor,15
Lupinus bicolor,15
Lupinus bicolor,20
Lupinus bicolor,12
Lupinus bicolor,18
Lupinus bicolor,12
Lupinus bicolor,11
Lotus strigosus,8
Lotus strigosus,6
Lotus strigosus,15
Lotus strigosus,9
Lotus strigosus,5
Lotus strigosus,7
Lotus strigosus,8
Lotus strigosus,9
Lotus strigosus,6
Lotus strigosus,6
Lotus strigosus,8
Lotus strigosus,8
Lotus strigosus,8
Lotus strigosus,6
Lotus strigosus,8
Lotus strigosus,10
Lotus strigosus,7
Lotus strigosus,6
Lotus strigosus,6
Lotus strigosus,6
Lotus strigosus,4
Lotus strigosus,2
Lotus strigosus,9
Lotus strigosus,9
Lotus strigosus,5
Lotus strigosus,10
Lotus strigosus,8
Lotus strigosus,7
Lotus strigosus,5
Lotus strigosus,5
Lotus strigosus,5
Lotus strigosus,10
Lotus strigosus,4
Lotus strigosus,7
Lotus strigosus,4
Lotus strigosus,5
Lotus strigosus,8
Lotus strigosus,7
Lotus strigosus,8
Lotus strigosus,6
Avena fatua,93
Avena fatua,83
Avena fatua,83
Avena fatua,82
Avena fatua,93
Avena fatua,94
Avena fatua,112
Avena fatua,89
Avena fatua,110
Avena fatua,101
Avena fatua,94
Avena fatua,90
Avena fatua,94
Avena fatua,97
Avena fatua,81
Avena fatua,89
Avena fatua,71
Avena fatua,65
Avena fatua,77
Avena fatua,87
Avena fatua,104
Avena fatua,132
Avena fatua,131
Avena fatua,92
Avena fatua,91
Avena fatua,89
Avena fatua,89
Avena fatua,93
Avena fatua,91
Avena fatua,123
Avena fatua,91
Avena fatua,77
Avena fatua,85
Avena fatua,72
Avena fatua,61
Avena fatua,68
Avena fatua,65
Avena fatua,74
Avena fatua,63
Avena fatua,67
Avena barbata,61
Avena barbata,87
Avena barbata,49
Avena barbata,90
Avena barbata,102
Avena barbata,102
Avena barbata,67
Avena barbata,90
Avena barbata,83
Avena barbata,77
Avena barbata,72
Avena barbata,104
Avena barbata,102
Avena barbata,99
Avena barbata,61
Avena barbata,91
Avena barbata,89
Avena barbata,73
Avena barbata,90
Avena barbata,89
Avena barbata,101
Avena barbata,102
Avena barbata,115
Avena barbata,81
Avena barbata,82
Avena barbata,78
Avena barbata,87
Avena barbata,71
Avena barbata,107
Avena barbata,104
Avena barbata,106
Avena barbata,101
Avena barbata,73
Avena barbata,77
Avena barbata,77
Avena barbata,81
Avena barbata,65
Avena barbata,70
Avena barbata,57
Avena barbata,61
Bromus diandrus,48
Bromus diandrus,42
Bromus diandrus,58
Bromus diandrus,47
Bromus diandrus,51
Bromus diandrus,42
Bromus diandrus,36
