Name,Count,Total Area,Average Size,%Area,Mean,
757-vuma-p4-l3,1,0.257,0.257,0.137,254.947,
757-vuma-p5-l1,1,0.566,0.566,0.302,254.661,
757-vuma-p5-l2,1,0.373,0.373,0.199,254.877,
757-vuma-p5-l3,2,0.702,0.351,0.374,254.868,
760-brma-p1-l1,1,0.778,0.778,0.632,255,
760-brma-p1-l2,1,1.1,1.1,0.894,254.983,
760-brma-p1-l3,1,0.599,0.599,0.487,255,
760-brma-p2-l1,1,1.014,1.014,0.824,254.991,
760-brma-p2-l2,1,1.357,1.357,1.103,254.293,
760-brma-p2-l3,1,1.133,1.133,0.921,255,
760-brma-p3-l1,1,0.903,0.903,0.734,255,
760-brma-p3-l2,1,0.97,0.97,0.789,254.995,
760-brma-p3-l3,1,1.628,1.628,1.323,254.989,
760-brma-p4-l1,1,1.972,1.972,1.318,255,
760-brma-p4-l2,1,1.258,1.258,0.841,254.993,
760-brma-p4-l3,2,1.857,0.929,1.241,254.983,
760-brma-p5-l1,1,1.547,1.547,1.034,254.965,
760-brma-p5-l2,1,1.208,1.208,0.807,254.981,
760-brma-p5-l3,1,1.246,1.246,0.832,254.996,
760-homu-p1-l1,1,0.704,0.704,0.474,255,
760-homu-p1-l2,1,0.741,0.741,0.499,255,
760-homu-p1-l3,1,0.672,0.672,0.452,254.966,
760-homu-p2-l1,1,0.704,0.704,0.474,255,
760-homu-p2-l2,1,0.963,0.963,0.648,253.984,
760-homu-p2-l3,1,0.566,0.566,0.381,254.96,
760-homu-p3-l1,1,0.855,0.855,0.575,254.989,
760-homu-p3-l2,2,0.916,0.458,0.616,254.956,
760-homu-p3-l3,1,0.704,0.704,0.474,254.948,
760-homu-p4-l1,1,0.795,0.795,0.642,255,
760-homu-p4-l2,2,1.268,0.634,1.024,254.992,
760-homu-p4-l3,1,0.767,0.767,0.62,254.988,
760-homu-p5-l1,1,1.073,1.073,0.867,255,
760-homu-p5-l2,3,1.085,0.362,0.876,254.929,
760-homu-p5-l3,3,1.544,0.515,1.246,254.689,
760-vuma-p1-l1,1,0.336,0.336,0.233,255,
760-vuma-p1-l2,1,0.187,0.187,0.13,255,
760-vuma-p1-l3,1,0.394,0.394,0.274,255,
760-vuma-p2-l1,1,0.461,0.461,0.32,255,
760-vuma-p2-l2,1,0.607,0.607,0.421,254.94,
760-vuma-p2-l3,1,0.554,0.554,0.384,254.983,
760-vuma-p3-l1,1,0.346,0.346,0.24,254.947,
760-vuma-p3-l2,1,0.371,0.371,0.258,254.766,
760-vuma-p3-l3,1,0.326,0.326,0.226,255,
761-brma-p1-l1,1,1.002,1.002,1.008,254.653,
761-brma-p2-l1,2,0.997,0.498,1.003,254.956,
761-brma-p2-l2,2,0.829,0.414,0.833,254.975,
761-brma-p2-l3,2,0.667,0.334,0.671,254.963,
761-homu-p1-l1,1,0.833,0.833,0.629,254.753,
761-homu-p1-l2,3,1.337,0.446,1.009,254.937,
761-homu-p1-l3,1,1.151,1.151,0.869,254.948,
761-homu-p2-l1,1,1.772,1.772,1.337,254.966,
761-homu-p2-l2,1,1.524,1.524,1.15,254.691,
